signal_date,code,name,close,vol_sigma,sentiment,insight
2025-11-05,,두산에너빌리티,79300,1.183,🔴 약세,거래대금이 동반된 하락 구간입니다. 손절·투매 또는 악재 해석 구간일 수 있어 관련 뉴스·공시를 함께 확인하는 것이 좋습니다.
2025-11-06,,SK하이닉스,582000,2.672,🔴 약세,거래대금이 동반된 하락 구간입니다. 손절·투매 또는 악재 해석 구간일 수 있어 관련 뉴스·공시를 함께 확인하는 것이 좋습니다.
2025-11-07,,파미셀,17300,-1.171,🔴 약세,"가격과 거래대금이 모두 위축된 구간입니다. 단기 관심도는 낮지만, 과도한 저평가 구간이 아닌지 체크해볼 수 있습니다."
2025-11-07,,SK하이닉스,580000,2.361,🔴 약세,거래대금이 동반된 하락 구간입니다. 손절·투매 또는 악재 해석 구간일 수 있어 관련 뉴스·공시를 함께 확인하는 것이 좋습니다.
2025-11-07,,LG디스플레이,13410,-1.139,🔴 약세,"가격과 거래대금이 모두 위축된 구간입니다. 단기 관심도는 낮지만, 과도한 저평가 구간이 아닌지 체크해볼 수 있습니다."
2025-11-07,,삼성전자,97900,2.179,🔴 약세,거래대금이 동반된 하락 구간입니다. 손절·투매 또는 악재 해석 구간일 수 있어 관련 뉴스·공시를 함께 확인하는 것이 좋습니다.
2025-11-07,,카카오,62800,1.071,🟢 강세,가격과 거래대금이 동시에 평균을 뚜렷하게 상회하는 상승 패턴입니다. 단기 수급이 과열될 수 있어 추격 매수 시 변동성 관리가 필요합니다.
2025-11-07,,대원전선,3985,-1.249,🟢 강세,거래대금 증가 없이 조용히 우상향하는 패턴입니다. 기관·외국인의 천천히 쌓이는 수급일 수 있어 중기적인 흐름을 점검할 필요가 있습니다.
2025-11-07,,두산에너빌리티,77900,1.147,🔴 약세,거래대금이 동반된 하락 구간입니다. 손절·투매 또는 악재 해석 구간일 수 있어 관련 뉴스·공시를 함께 확인하는 것이 좋습니다.
2025-11-10,660.0,SK하이닉스,606000,4.342,🟢 강세,가격과 거래대금이 동시에 평균을 뚜렷하게 상회하는 상승 패턴입니다. 단기 수급이 과열될 수 있어 추격 매수 시 변동성 관리가 필요합니다.
